"","Ch1","Ch2","Ch3","Ch4","No"
"13650",0.14,0.05,0.088,0.722,13650
"13651",0.042,0.084,0.098,0.776,13651
"13652",0.062,0.082,0.112,0.744,13652
"13653",0.11,0.074,0.088,0.728,13653
"13654",0.09,0.254,0.402,0.254,13654
"13655",0.332,0.232,0.16,0.276,13655
"13656",0.114,0.144,0.378,0.364,13656
"13657",0.116,0.118,0.508,0.258,13657
"13658",0.678,0.07,0.116,0.136,13658
"13659",0.066,0.048,0.804,0.082,13659
"13660",0.046,0.834,0.072,0.048,13660
"13661",0.224,0.178,0.232,0.366,13661
"13662",0.67,0.02,0.256,0.054,13662
"13663",0.684,0.066,0.116,0.134,13663
"13664",0.084,0.812,0.054,0.05,13664
"13665",0.062,0.038,0.742,0.158,13665
"13666",0.034,0.79,0.068,0.108,13666
"13667",0.136,0.232,0.28,0.352,13667
"13668",0.076,0.754,0.068,0.102,13668
"13669",0.044,0.846,0.05,0.06,13669
"13670",0.046,0.832,0.062,0.06,13670
"13671",0.114,0.406,0.318,0.162,13671
"13672",0.066,0.084,0.792,0.058,13672
"13673",0.076,0.808,0.07,0.046,13673
"13674",0.048,0.87,0.04,0.042,13674
"13675",0.036,0.062,0.846,0.056,13675
"13676",0.176,0.322,0.386,0.116,13676
"13677",0.056,0.062,0.822,0.06,13677
"13678",0.77,0.062,0.086,0.082,13678
"13679",0.082,0.818,0.08,0.02,13679
"13680",0.14,0.756,0.038,0.066,13680
"13681",0.164,0.664,0.09,0.082,13681
"13682",0.74,0.098,0.084,0.078,13682
"13683",0.08,0.058,0.67,0.192,13683
"13684",0.038,0.11,0.112,0.74,13684
"13685",0.754,0.052,0.102,0.092,13685
"13686",0.478,0.162,0.174,0.186,13686
"13687",0.024,0.698,0.084,0.194,13687
"13688",0.098,0.122,0.06,0.72,13688
"13689",0.062,0.866,0.046,0.026,13689
"13690",0.052,0.032,0.794,0.122,13690
"13691",0.482,0.114,0.12,0.284,13691
"13692",0.032,0.06,0.774,0.134,13692
"13693",0.036,0.832,0.03,0.102,13693
"13694",0.064,0.046,0.058,0.832,13694
"13695",0.044,0.88,0.03,0.046,13695
"13696",0.554,0.216,0.094,0.136,13696
"13697",0.742,0.044,0.052,0.162,13697
"13698",0.84,0.13,0.01,0.02,13698
"13699",0.04,0.776,0.046,0.138,13699
"13700",0.028,0.746,0.072,0.154,13700
"13701",0.04,0.888,0.02,0.052,13701
"13702",0.69,0.228,0.038,0.044,13702
"13703",0.81,0.052,0.05,0.088,13703
"13704",0.812,0.05,0.07,0.068,13704
"13705",0.146,0.1,0.686,0.068,13705
"13706",0.092,0.042,0.1,0.766,13706
"13707",0.02,0.87,0.064,0.046,13707
"13708",0.688,0.056,0.14,0.116,13708
"13709",0.77,0.036,0.058,0.136,13709
"13710",0.202,0.184,0.392,0.222,13710
"13711",0.846,0.034,0.036,0.084,13711
"13712",0.126,0.28,0.372,0.222,13712
"13713",0.074,0.058,0.092,0.776,13713
"13714",0.172,0.064,0.036,0.728,13714
"13715",0.418,0.142,0.236,0.204,13715
"13716",0.784,0.056,0.05,0.11,13716
"13717",0.084,0.09,0.72,0.106,13717
"13718",0.296,0.354,0.156,0.194,13718
"13719",0.66,0.146,0.058,0.136,13719
"13720",0.374,0.178,0.1,0.348,13720
"13721",0.69,0.052,0.054,0.204,13721
"13722",0.194,0.256,0.15,0.4,13722
"13723",0.716,0.07,0.024,0.19,13723
"13724",0.106,0.142,0.178,0.574,13724
"13725",0.662,0.242,0.02,0.076,13725
"13726",0.108,0.532,0.138,0.222,13726
"13727",0.184,0.672,0.024,0.12,13727
"13728",0.208,0.66,0.05,0.082,13728
"13729",0.118,0.086,0.688,0.108,13729
"13730",0.104,0.06,0.64,0.196,13730
"13731",0.154,0.67,0.044,0.132,13731
"13732",0.152,0.502,0.136,0.21,13732
"13733",0.036,0.676,0.116,0.172,13733
"13734",0.204,0.664,0.058,0.074,13734
"13735",0.666,0.088,0.032,0.214,13735
"13736",0.058,0.094,0.636,0.212,13736
"13737",0.718,0.204,0.014,0.064,13737
"13738",0.04,0.048,0.18,0.732,13738
"13739",0.696,0.108,0.032,0.164,13739
"13740",0.04,0.84,0.03,0.09,13740
"13741",0.092,0.046,0.162,0.7,13741
"13742",0.51,0.092,0.198,0.2,13742
"13743",0.064,0.022,0.174,0.74,13743
"13744",0.07,0.812,0.036,0.082,13744
"13745",0.192,0.07,0.03,0.708,13745
"13746",0.088,0.03,0.048,0.834,13746
"13747",0.068,0.05,0.168,0.714,13747
"13748",0.08,0.122,0.118,0.68,13748
"13749",0.142,0.074,0.078,0.706,13749
"13750",0.116,0.23,0.476,0.178,13750
"13751",0.038,0.858,0.06,0.044,13751
"13752",0.08,0.202,0.506,0.212,13752
"13753",0.07,0.054,0.84,0.036,13753
"13754",0.666,0.072,0.128,0.134,13754
"13755",0.062,0.164,0.046,0.728,13755
"13756",0.816,0.056,0.05,0.078,13756
"13757",0.378,0.092,0.252,0.278,13757
"13758",0.858,0.062,0.02,0.06,13758
"13759",0.04,0.818,0.06,0.082,13759
"13760",0.088,0.808,0.04,0.064,13760
"13761",0.032,0.83,0.078,0.06,13761
"13762",0.05,0.03,0.836,0.084,13762
"13763",0.11,0.066,0.588,0.236,13763
"13764",0.806,0.054,0.024,0.116,13764
"13765",0.798,0.096,0.026,0.08,13765
"13766",0.764,0.086,0.046,0.104,13766
"13767",0.558,0.066,0.248,0.128,13767
"13768",0.032,0.094,0.828,0.046,13768
"13769",0.776,0.084,0.078,0.062,13769
"13770",0.726,0.104,0.068,0.102,13770
"13771",0.09,0.082,0.636,0.192,13771
"13772",0.108,0.826,0.038,0.028,13772
"13773",0.098,0.744,0.106,0.052,13773
"13774",0.038,0.062,0.824,0.076,13774
"13775",0.096,0.026,0.098,0.78,13775
"13776",0.042,0.83,0.056,0.072,13776
"13777",0.066,0.708,0.066,0.16,13777
"13778",0.186,0.656,0.074,0.084,13778
"13779",0.206,0.174,0.142,0.478,13779
"13780",0.098,0.754,0.118,0.03,13780
"13781",0.054,0.746,0.046,0.154,13781
"13782",0.08,0.744,0.046,0.13,13782
"13783",0.028,0.81,0.074,0.088,13783
"13784",0.03,0.216,0.67,0.084,13784
"13785",0.03,0.888,0.04,0.042,13785
"13786",0.102,0.454,0.274,0.17,13786
"13787",0.06,0.732,0.042,0.166,13787
"13788",0.034,0.666,0.254,0.046,13788
"13789",0.088,0.028,0.818,0.066,13789
"13790",0.738,0.078,0.05,0.134,13790
"13791",0.798,0.08,0.03,0.092,13791
"13792",0.744,0.114,0.08,0.062,13792
"13793",0.148,0.53,0.078,0.244,13793
"13794",0.194,0.684,0.038,0.084,13794
"13795",0.158,0.162,0.638,0.042,13795
"13796",0.776,0.102,0.036,0.086,13796
"13797",0.056,0.076,0.714,0.154,13797
"13798",0.154,0.758,0.028,0.06,13798
"13799",0.738,0.052,0.042,0.168,13799
"13800",0.04,0.05,0.738,0.172,13800
"13801",0.036,0.074,0.834,0.056,13801
"13802",0.08,0.036,0.7,0.184,13802
"13803",0.15,0.666,0.09,0.094,13803
"13804",0.77,0.084,0.044,0.102,13804
"13805",0.152,0.446,0.13,0.272,13805
"13806",0.678,0.086,0.162,0.074,13806
"13807",0.046,0.106,0.672,0.176,13807
"13808",0.252,0.114,0.25,0.384,13808
"13809",0.112,0.204,0.562,0.122,13809
"13810",0.694,0.136,0.022,0.148,13810
"13811",0.062,0.736,0.042,0.16,13811
"13812",0.14,0.208,0.16,0.492,13812
"13813",0.072,0.156,0.698,0.074,13813
"13814",0.784,0.028,0.066,0.122,13814
"13815",0.126,0.758,0.042,0.074,13815
"13816",0.114,0.022,0.8,0.064,13816
"13817",0.774,0.13,0.036,0.06,13817
"13818",0.036,0.056,0.1,0.808,13818
"13819",0.594,0.136,0.066,0.204,13819
"13820",0.212,0.314,0.14,0.334,13820
"13821",0.078,0.028,0.064,0.83,13821
"13822",0.254,0.024,0.028,0.694,13822
"13823",0.018,0.032,0.856,0.094,13823
"13824",0.068,0.194,0.038,0.7,13824
"13825",0.026,0.05,0.124,0.8,13825
"13826",0.484,0.078,0.132,0.306,13826
"13827",0.168,0.208,0.298,0.326,13827
"13828",0.08,0.15,0.132,0.638,13828
"13829",0.02,0.036,0.822,0.122,13829
"13830",0.038,0.138,0.78,0.044,13830
"13831",0.026,0.134,0.034,0.806,13831
"13832",0.046,0.034,0.122,0.798,13832
"13833",0.736,0.032,0.168,0.064,13833
"13834",0.036,0.064,0.82,0.08,13834
"13835",0.044,0.038,0.806,0.112,13835
"13836",0.112,0.02,0.744,0.124,13836
"13837",0.068,0.048,0.042,0.842,13837
"13838",0.346,0.292,0.17,0.192,13838
"13839",0.108,0.03,0.05,0.812,13839
"13840",0.07,0.054,0.81,0.066,13840
"13841",0.05,0.056,0.742,0.152,13841
"13842",0.022,0.126,0.042,0.81,13842
"13843",0.12,0.046,0.04,0.794,13843
"13844",0.046,0.794,0.082,0.078,13844
"13845",0.056,0.09,0.058,0.796,13845
"13846",0.08,0.082,0.792,0.046,13846
"13847",0.052,0.052,0.062,0.834,13847
"13848",0.03,0.064,0.76,0.146,13848
"13849",0.054,0.042,0.052,0.852,13849
"13850",0.706,0.022,0.194,0.078,13850
"13851",0.192,0.15,0.214,0.444,13851
"13852",0.536,0.204,0.082,0.178,13852
"13853",0.138,0.032,0.772,0.058,13853
"13854",0.042,0.728,0.1,0.13,13854
"13855",0.114,0.678,0.048,0.16,13855
"13856",0.06,0.162,0.744,0.034,13856
"13857",0.68,0.09,0.086,0.144,13857
"13858",0.172,0.502,0.108,0.218,13858
"13859",0.85,0.036,0.038,0.076,13859
"13860",0.026,0.802,0.074,0.098,13860
"13861",0.058,0.748,0.03,0.164,13861
"13862",0.382,0.314,0.19,0.114,13862
"13863",0.216,0.322,0.132,0.33,13863
"13864",0.044,0.138,0.668,0.15,13864
"13865",0.064,0.708,0.064,0.164,13865
"13866",0.07,0.684,0.088,0.158,13866
"13867",0.078,0.712,0.04,0.17,13867
"13868",0.154,0.06,0.712,0.074,13868
"13869",0.05,0.05,0.758,0.142,13869
"13870",0.058,0.646,0.106,0.19,13870
"13871",0.694,0.23,0.026,0.05,13871
"13872",0.038,0.712,0.116,0.134,13872
"13873",0.068,0.756,0.034,0.142,13873
"13874",0.74,0.068,0.152,0.04,13874
"13875",0.648,0.056,0.194,0.102,13875
"13876",0.02,0.22,0.68,0.08,13876
"13877",0.104,0.044,0.682,0.17,13877
"13878",0.108,0.348,0.244,0.3,13878
"13879",0.716,0.034,0.048,0.202,13879
"13880",0.028,0.736,0.13,0.106,13880
"13881",0.094,0.188,0.656,0.062,13881
"13882",0.106,0.44,0.32,0.134,13882
"13883",0.128,0.728,0.084,0.06,13883
"13884",0.084,0.088,0.412,0.416,13884
"13885",0.078,0.768,0.106,0.048,13885
"13886",0.102,0.042,0.756,0.1,13886
"13887",0.058,0.042,0.78,0.12,13887
"13888",0.666,0.06,0.216,0.058,13888
"13889",0.122,0.552,0.176,0.15,13889
"13890",0.776,0.064,0.076,0.084,13890
"13891",0.062,0.026,0.112,0.8,13891
"13892",0.018,0.084,0.818,0.08,13892
"13893",0.7,0.124,0.042,0.134,13893
"13894",0.112,0.028,0.088,0.772,13894
"13895",0.06,0.04,0.146,0.754,13895
"13896",0.762,0.038,0.08,0.12,13896
"13897",0.14,0.144,0.024,0.692,13897
"13898",0.062,0.716,0.046,0.176,13898
"13899",0.184,0.714,0.052,0.05,13899
"13900",0.102,0.468,0.058,0.372,13900
"13901",0.052,0.144,0.02,0.784,13901
"13902",0.03,0.13,0.672,0.168,13902
"13903",0.102,0.02,0.848,0.03,13903
"13904",0.05,0.084,0.344,0.522,13904
"13905",0.072,0.092,0.034,0.802,13905
"13906",0.538,0.074,0.126,0.262,13906
"13907",0.04,0.05,0.03,0.88,13907
"13908",0.21,0.154,0.096,0.54,13908
"13909",0.106,0.224,0.42,0.25,13909
"13910",0.322,0.3,0.148,0.23,13910
"13911",0.114,0.138,0.596,0.152,13911
"13912",0.078,0.086,0.078,0.758,13912
"13913",0.042,0.078,0.822,0.058,13913
"13914",0.088,0.768,0.048,0.096,13914
"13915",0.366,0.16,0.166,0.308,13915
"13916",0.284,0.148,0.252,0.316,13916
"13917",0.178,0.288,0.246,0.288,13917
"13918",0.136,0.082,0.718,0.064,13918
"13919",0.658,0.168,0.14,0.034,13919
"13920",0.04,0.814,0.058,0.088,13920
"13921",0.118,0.678,0.114,0.09,13921
"13922",0.052,0.72,0.158,0.07,13922
"13923",0.132,0.704,0.052,0.112,13923
"13924",0.052,0.04,0.848,0.06,13924
"13925",0.666,0.068,0.182,0.084,13925
"13926",0.1,0.056,0.744,0.1,13926
"13927",0.042,0.07,0.772,0.116,13927
"13928",0.044,0.072,0.052,0.832,13928
"13929",0.066,0.05,0.068,0.816,13929
"13930",0.114,0.034,0.762,0.09,13930
"13931",0.034,0.07,0.204,0.692,13931
"13932",0.028,0.078,0.034,0.86,13932
"13933",0.79,0.068,0.032,0.11,13933
"13934",0.084,0.038,0.054,0.824,13934
"13935",0.074,0.178,0.154,0.594,13935
"13936",0.782,0.044,0.05,0.124,13936
"13937",0.04,0.086,0.042,0.832,13937
"13938",0.686,0.098,0.108,0.108,13938
"13939",0.034,0.074,0.042,0.85,13939
"13940",0.868,0.04,0.02,0.072,13940
"13941",0.84,0.078,0.014,0.068,13941
"13942",0.1,0.142,0.2,0.558,13942
"13943",0.03,0.218,0.028,0.724,13943
"13944",0.084,0.198,0.142,0.576,13944
"13945",0.07,0.038,0.032,0.86,13945
"13946",0.08,0.464,0.082,0.374,13946
"13947",0.754,0.068,0.046,0.132,13947
"13948",0.056,0.04,0.082,0.822,13948
"13949",0.094,0.244,0.248,0.414,13949
"13950",0.202,0.41,0.09,0.298,13950
"13951",0.732,0.158,0.074,0.036,13951
"13952",0.022,0.098,0.824,0.056,13952
"13953",0.042,0.05,0.04,0.868,13953
"13954",0.392,0.14,0.34,0.128,13954
"13955",0.084,0.132,0.342,0.442,13955
"13956",0.808,0.028,0.114,0.05,13956
"13957",0.072,0.106,0.738,0.084,13957
"13958",0.088,0.378,0.254,0.28,13958
"13959",0.05,0.172,0.056,0.722,13959
"13960",0.038,0.748,0.086,0.128,13960
"13961",0.088,0.062,0.036,0.814,13961
"13962",0.08,0.038,0.082,0.8,13962
"13963",0.748,0.088,0.138,0.026,13963
"13964",0.048,0.032,0.168,0.752,13964
"13965",0.124,0.028,0.82,0.028,13965
"13966",0.11,0.738,0.118,0.034,13966
"13967",0.772,0.136,0.032,0.06,13967
"13968",0.182,0.43,0.126,0.262,13968
"13969",0.032,0.134,0.746,0.088,13969
"13970",0.126,0.556,0.148,0.17,13970
"13971",0.11,0.48,0.128,0.282,13971
"13972",0.05,0.834,0.056,0.06,13972
"13973",0.762,0.122,0.05,0.066,13973
"13974",0.676,0.068,0.118,0.138,13974
"13975",0.092,0.742,0.044,0.122,13975
"13976",0.052,0.148,0.73,0.07,13976
"13977",0.048,0.774,0.13,0.048,13977
"13978",0.068,0.68,0.054,0.198,13978
"13979",0.102,0.308,0.218,0.372,13979
"13980",0.028,0.148,0.794,0.03,13980
"13981",0.092,0.052,0.682,0.174,13981
"13982",0.058,0.05,0.798,0.094,13982
"13983",0.74,0.172,0.048,0.04,13983
"13984",0.776,0.136,0.03,0.058,13984
"13985",0.834,0.092,0.024,0.05,13985
"13986",0.05,0.738,0.038,0.174,13986
"13987",0.098,0.142,0.664,0.096,13987
"13988",0.728,0.02,0.11,0.142,13988
"13989",0.034,0.81,0.112,0.044,13989
"13990",0.726,0.038,0.076,0.16,13990
"13991",0.876,0.036,0.028,0.06,13991
"13992",0.698,0.188,0.046,0.068,13992
"13993",0.672,0.24,0.028,0.06,13993
"13994",0.136,0.374,0.118,0.372,13994
"13995",0.698,0.086,0.022,0.194,13995
"13996",0.66,0.256,0.054,0.03,13996
"13997",0.664,0.074,0.23,0.032,13997
"13998",0.712,0.116,0.034,0.138,13998
"13999",0.784,0.056,0.056,0.104,13999
"14000",0.736,0.024,0.032,0.208,14000
"14001",0.704,0.04,0.072,0.184,14001
"14002",0.03,0.67,0.266,0.034,14002
"14003",0.066,0.214,0.658,0.062,14003
"14004",0.194,0.052,0.53,0.224,14004
"14005",0.072,0.132,0.614,0.182,14005
"14006",0.112,0.088,0.744,0.056,14006
"14007",0.038,0.826,0.024,0.112,14007
"14008",0.042,0.074,0.682,0.202,14008
"14009",0.044,0.088,0.792,0.076,14009
"14010",0.122,0.038,0.824,0.016,14010
"14011",0.772,0.028,0.096,0.104,14011
"14012",0.032,0.19,0.67,0.108,14012
"14013",0.086,0.75,0.032,0.132,14013
"14014",0.54,0.066,0.072,0.322,14014
"14015",0.036,0.682,0.046,0.236,14015
"14016",0.082,0.382,0.11,0.426,14016
"14017",0.054,0.132,0.646,0.168,14017
"14018",0.7,0.034,0.182,0.084,14018
"14019",0.696,0.038,0.066,0.2,14019
"14020",0.162,0.036,0.69,0.112,14020
"14021",0.69,0.024,0.178,0.108,14021
"14022",0.108,0.066,0.616,0.21,14022
"14023",0.032,0.134,0.108,0.726,14023
"14024",0.144,0.316,0.122,0.418,14024
"14025",0.042,0.06,0.17,0.728,14025
"14026",0.112,0.116,0.138,0.634,14026
"14027",0.038,0.046,0.826,0.09,14027
"14028",0.046,0.05,0.054,0.85,14028
"14029",0.038,0.796,0.04,0.126,14029
"14030",0.048,0.062,0.2,0.69,14030
"14031",0.768,0.068,0.038,0.126,14031
"14032",0.04,0.056,0.06,0.844,14032
"14033",0.044,0.034,0.86,0.062,14033
"14034",0.48,0.162,0.118,0.24,14034
"14035",0.124,0.12,0.064,0.692,14035
"14036",0.036,0.044,0.87,0.05,14036
"14037",0.044,0.288,0.024,0.644,14037
"14038",0.048,0.21,0.032,0.71,14038
"14039",0.166,0.038,0.072,0.724,14039
"14040",0.362,0.282,0.088,0.268,14040
"14041",0.024,0.086,0.19,0.7,14041
"14042",0.746,0.096,0.076,0.082,14042
"14043",0.046,0.792,0.038,0.124,14043
"14044",0.168,0.086,0.136,0.61,14044
"14045",0.03,0.086,0.066,0.818,14045
"14046",0.108,0.102,0.028,0.762,14046
"14047",0.114,0.05,0.046,0.79,14047
"14048",0.026,0.182,0.034,0.758,14048
"14049",0.082,0.054,0.752,0.112,14049
"14050",0.048,0.114,0.762,0.076,14050
"14051",0.142,0.054,0.06,0.744,14051
"14052",0.028,0.064,0.806,0.102,14052
"14053",0.388,0.234,0.08,0.298,14053
"14054",0.086,0.1,0.036,0.778,14054
"14055",0.816,0.058,0.038,0.088,14055
"14056",0.056,0.082,0.046,0.816,14056
"14057",0.76,0.052,0.07,0.118,14057
"14058",0.044,0.028,0.09,0.838,14058
"14059",0.038,0.088,0.058,0.816,14059
"14060",0.118,0.042,0.07,0.77,14060
"14061",0.138,0.484,0.128,0.25,14061
"14062",0.062,0.206,0.036,0.696,14062
"14063",0.19,0.33,0.176,0.304,14063
"14064",0.356,0.126,0.31,0.208,14064
"14065",0.232,0.07,0.04,0.658,14065
"14066",0.704,0.11,0.066,0.12,14066
"14067",0.192,0.406,0.084,0.318,14067
"14068",0.038,0.036,0.814,0.112,14068
"14069",0.796,0.042,0.078,0.084,14069
"14070",0.036,0.094,0.812,0.058,14070
"14071",0.036,0.076,0.142,0.746,14071
"14072",0.076,0.72,0.096,0.108,14072
"14073",0.718,0.036,0.12,0.126,14073
"14074",0.056,0.092,0.048,0.804,14074
"14075",0.042,0.068,0.764,0.126,14075
"14076",0.786,0.064,0.046,0.104,14076
"14077",0.034,0.836,0.048,0.082,14077
"14078",0.058,0.12,0.038,0.784,14078
"14079",0.78,0.076,0.098,0.046,14079
"14080",0.14,0.676,0.048,0.136,14080
"14081",0.04,0.808,0.048,0.104,14081
"14082",0.706,0.038,0.164,0.092,14082
"14083",0.824,0.042,0.024,0.11,14083
"14084",0.738,0.038,0.048,0.176,14084
"14085",0.13,0.398,0.106,0.366,14085
"14086",0.12,0.652,0.056,0.172,14086
"14087",0.206,0.136,0.356,0.302,14087
"14088",0.078,0.054,0.716,0.152,14088
"14089",0.166,0.182,0.254,0.398,14089
"14090",0.03,0.708,0.17,0.092,14090
"14091",0.034,0.794,0.054,0.118,14091
"14092",0.826,0.062,0.052,0.06,14092
"14093",0.03,0.052,0.838,0.08,14093
"14094",0.154,0.378,0.128,0.34,14094
"14095",0.088,0.702,0.052,0.158,14095
"14096",0.156,0.412,0.1,0.332,14096
"14097",0.038,0.712,0.12,0.13,14097
"14098",0.084,0.06,0.804,0.052,14098
"14099",0.03,0.03,0.152,0.788,14099
"14100",0.16,0.128,0.32,0.392,14100
"14101",0.098,0.418,0.104,0.38,14101
"14102",0.05,0.056,0.786,0.108,14102
"14103",0.076,0.034,0.028,0.862,14103
"14104",0.032,0.066,0.072,0.83,14104
"14105",0.814,0.034,0.048,0.104,14105
"14106",0.88,0.044,0.038,0.038,14106
"14107",0.024,0.044,0.896,0.036,14107
"14108",0.16,0.142,0.122,0.576,14108
"14109",0.028,0.79,0.042,0.14,14109
"14110",0.124,0.194,0.082,0.6,14110
"14111",0.086,0.038,0.024,0.852,14111
"14112",0.758,0.046,0.034,0.162,14112
"14113",0.052,0.048,0.734,0.166,14113
"14114",0.292,0.168,0.134,0.406,14114
"14115",0.04,0.12,0.08,0.76,14115
"14116",0.876,0.028,0.04,0.056,14116
"14117",0.022,0.028,0.108,0.842,14117
"14118",0.032,0.212,0.026,0.73,14118
"14119",0.018,0.026,0.9,0.056,14119
"14120",0.084,0.044,0.706,0.166,14120
"14121",0.052,0.036,0.036,0.876,14121
"14122",0.04,0.226,0.016,0.718,14122
"14123",0.858,0.024,0.028,0.09,14123
"14124",0.046,0.04,0.2,0.714,14124
"14125",0.026,0.13,0.16,0.684,14125
"14126",0.108,0.168,0.05,0.674,14126
"14127",0.65,0.036,0.188,0.126,14127
"14128",0.086,0.122,0.074,0.718,14128
"14129",0.032,0.028,0.704,0.236,14129
"14130",0.174,0.094,0.098,0.634,14130
"14131",0.104,0.08,0.134,0.682,14131
"14132",0.064,0.03,0.054,0.852,14132
"14133",0.038,0.65,0.018,0.294,14133
"14134",0.036,0.036,0.886,0.042,14134
"14135",0.056,0.046,0.04,0.858,14135
"14136",0.714,0.028,0.218,0.04,14136
"14137",0.076,0.85,0.028,0.046,14137
"14138",0.076,0.792,0.034,0.098,14138
"14139",0.158,0.704,0.034,0.104,14139
"14140",0.296,0.356,0.12,0.228,14140
"14141",0.414,0.144,0.1,0.342,14141
"14142",0.926,0.024,0.026,0.024,14142
"14143",0.028,0.178,0.71,0.084,14143
"14144",0.032,0.768,0.024,0.176,14144
"14145",0.132,0.028,0.68,0.16,14145
"14146",0.078,0.634,0.06,0.228,14146
"14147",0.218,0.084,0.182,0.516,14147
"14148",0.688,0.03,0.044,0.238,14148
"14149",0.804,0.026,0.03,0.14,14149
"14150",0.07,0.032,0.854,0.044,14150
"14151",0.034,0.018,0.73,0.218,14151
"14152",0.196,0.164,0.096,0.544,14152
"14153",0.016,0.046,0.836,0.102,14153
"14154",0.704,0.054,0.038,0.204,14154
"14155",0.732,0.074,0.074,0.12,14155
"14156",0.838,0.028,0.026,0.108,14156
"14157",0.398,0.116,0.194,0.292,14157
"14158",0.054,0.074,0.776,0.096,14158
"14159",0.024,0.868,0.012,0.096,14159
"14160",0.02,0.05,0.856,0.074,14160
"14161",0.032,0.686,0.032,0.25,14161
"14162",0.072,0.164,0.324,0.44,14162
"14163",0.342,0.128,0.144,0.386,14163
"14164",0.022,0.08,0.132,0.766,14164
"14165",0.082,0.02,0.186,0.712,14165
"14166",0.038,0.914,0.01,0.038,14166
"14167",0.024,0.7,0.052,0.224,14167
"14168",0.188,0.504,0.098,0.21,14168
"14169",0.074,0.032,0.054,0.84,14169
"14170",0.046,0.044,0.828,0.082,14170
"14171",0.076,0.036,0.024,0.864,14171
"14172",0.062,0.044,0.848,0.046,14172
"14173",0.752,0.038,0.046,0.164,14173
"14174",0.042,0.888,0.032,0.038,14174
"14175",0.228,0.734,0.012,0.026,14175
"14176",0.082,0.404,0.184,0.33,14176
"14177",0.026,0.228,0.716,0.03,14177
"14178",0.088,0.856,0.018,0.038,14178
"14179",0.036,0.812,0.088,0.064,14179
"14180",0.03,0.76,0.082,0.128,14180
"14181",0.07,0.73,0.034,0.166,14181
"14182",0.026,0.02,0.892,0.062,14182
"14183",0.054,0.538,0.176,0.232,14183
"14184",0.042,0.252,0.532,0.174,14184
"14185",0.23,0.008,0.658,0.104,14185
"14186",0.026,0.772,0.06,0.142,14186
"14187",0.868,0.054,0.024,0.054,14187
"14188",0.038,0.756,0.062,0.144,14188
"14189",0.128,0.082,0.704,0.086,14189
"14190",0.04,0.078,0.808,0.074,14190
"14191",0.81,0.034,0.044,0.112,14191
"14192",0.032,0.892,0.036,0.04,14192
"14193",0.104,0.104,0.158,0.634,14193
"14194",0.326,0.316,0.144,0.214,14194
"14195",0.038,0.7,0.206,0.056,14195
"14196",0.844,0.054,0.032,0.07,14196
"14197",0.048,0.146,0.7,0.106,14197
"14198",0.054,0.73,0.122,0.094,14198
"14199",0.166,0.034,0.672,0.128,14199
"14200",0.04,0.064,0.77,0.126,14200
"14201",0.824,0.044,0.048,0.084,14201
"14202",0.048,0.054,0.76,0.138,14202
"14203",0.144,0.192,0.308,0.356,14203
"14204",0.042,0.746,0.064,0.148,14204
"14205",0.042,0.804,0.054,0.1,14205
"14206",0.066,0.03,0.838,0.066,14206
"14207",0.708,0.05,0.074,0.168,14207
"14208",0.77,0.062,0.08,0.088,14208
"14209",0.804,0.086,0.058,0.052,14209
"14210",0.06,0.828,0.054,0.058,14210
"14211",0.066,0.056,0.794,0.084,14211
"14212",0.044,0.058,0.794,0.104,14212
"14213",0.1,0.118,0.404,0.378,14213
"14214",0.076,0.752,0.03,0.142,14214
"14215",0.732,0.042,0.076,0.15,14215
"14216",0.018,0.75,0.142,0.09,14216
"14217",0.866,0.048,0.03,0.056,14217
"14218",0.032,0.16,0.76,0.048,14218
"14219",0.076,0.734,0.024,0.166,14219
"14220",0.066,0.194,0.032,0.708,14220
"14221",0.048,0.84,0.018,0.094,14221
"14222",0.03,0.064,0.874,0.032,14222
"14223",0.044,0.786,0.024,0.146,14223
"14224",0.072,0.1,0.048,0.78,14224
"14225",0.764,0.05,0.106,0.08,14225
"14226",0.076,0.808,0.026,0.09,14226
"14227",0.046,0.812,0.06,0.082,14227
"14228",0.15,0.076,0.016,0.758,14228
"14229",0.094,0.038,0.066,0.802,14229
"14230",0.042,0.138,0.024,0.796,14230
"14231",0.078,0.086,0.688,0.148,14231
"14232",0.684,0.134,0.036,0.146,14232
"14233",0.114,0.83,0.026,0.03,14233
"14234",0.08,0.766,0.066,0.088,14234
"14235",0.27,0.616,0.05,0.064,14235
"14236",0.678,0.07,0.06,0.192,14236
"14237",0.286,0.656,0.02,0.038,14237
"14238",0.092,0.07,0.67,0.168,14238
"14239",0.1,0.648,0.05,0.202,14239
"14240",0.692,0.122,0.04,0.146,14240
"14241",0.068,0.07,0.69,0.172,14241
"14242",0.214,0.044,0.684,0.058,14242
"14243",0.04,0.156,0.648,0.156,14243
"14244",0.214,0.694,0.02,0.072,14244
"14245",0.03,0.688,0.214,0.068,14245
"14246",0.042,0.738,0.044,0.176,14246
"14247",0.052,0.69,0.05,0.208,14247
"14248",0.08,0.092,0.252,0.576,14248
"14249",0.032,0.252,0.684,0.032,14249
"14250",0.166,0.162,0.11,0.562,14250
"14251",0.8,0.026,0.068,0.106,14251
"14252",0.17,0.072,0.346,0.412,14252
"14253",0.704,0.108,0.034,0.154,14253
"14254",0.03,0.088,0.704,0.178,14254
"14255",0.42,0.078,0.196,0.306,14255
"14256",0.662,0.028,0.214,0.096,14256
